tweet_id	response	nuta_category	time
1548753350757195777	今日は、いい天気だから明るいね	1	08
1548753350757195777	もう朝になってたんだ。さすがに明るくなったね	2	08
1548753350757195777	もう朝になってたんだ。さすがに明るくなったね	3	00
1548753350757195777	いいでしょー。早く見れると良いね。	4	08
1567728195482558465	いいよ、特別にあげるから感謝して	1	10
1567728195482558465	学校おわったらあげようかな、何やってもらうか考えておく	2	10
1567728195482558465	学校おわったらあげようかな、何やってもらうか考えておく	3	00
1567728195482558465	触ったよ。でもまずは自分でやってみたら？	4	10
1551822981902770176	そうだと思うよ。おすすめですよ	1	11
1551822981902770176	今RISE＋SUNBREAKセット実店舗で買ったとこ	2	11
1551822981902770176	今RISE＋SUNBREAKセット実店舗で買ったとこ	3	00
1551822981902770176	いいんじゃない？今度作戦練ろうぜ！	4	11
1568144649302470657	ずいぶんじっくり寝すぎじゃないかい	1	03
1568144649302470657	昼寝しすぎるとこんな感じで夜寝れないよね。明日の朝つらそう	2	03
1568144649302470657	昼寝しすぎるとこんな感じで夜寝れないよね。明日の朝つらそう	3	15
1568144649302470657	そういう行事だから買いたいけど、当日は高いよね	4	03
1552954752891179008	「ドゥブ」がなんかツボかもしれないね	1	12
1552954752891179008	発音が？でもおいしいし、今もランチで食べてる	2	12
1552954752891179008	発音が？でもおいしいし、今もランチで食べてる	3	03
1552954752891179008	バレたら怒られるの？困っちゃうね。	4	12
1559392203700862976	つながりますよ。申請しますね。	1	01
1559392203700862976	申請した。夜更かしつきあってよ	2	01
1559392203700862976	申請した。夜更かしつきあってよ	3	06
1559392203700862976	今年はどっちが優勝するんだろうね。	4	01
1529671726552203264	品薄なんだね。どこかにないかな	1	23
1529671726552203264	今すぐコンビニ行ったら日付変わる前にギリギリ間に合うと思うよ	2	23
1529671726552203264	今すぐコンビニ行ったら日付変わる前にギリギリ間に合うと思うよ	3	00
1529671726552203264	お疲れ様ー。ゆっくり休んでね。	4	23
1562630691418161152	こんなに風強いってしってたら、スカートはかなかったよね	1	18
1562630691418161152	私も今された。帰宅時間風強すぎ。朝はこんなに吹いてなかった	2	18
1562630691418161152	私も今された。帰宅時間風強すぎ。朝はこんなに吹いてなかった	3	03
1562630691418161152	どうしたの？なにかあったなら聞くよ	4	18
1553137260719382528	スッキリするから寝てもいいのよ。	1	13
1553137260719382528	今みたいな昼ごはんの後は眠くなるよね	2	13
1553137260719382528	今みたいな昼ごはんの後は眠くなるよね	3	01
1553137260719382528	王者って、どんだけスクワット出来るのよ	4	13
